Gravedad	Código	Descripción	Proyecto	Archivo	Línea	Estado suprimido	Detalles
Error (activo)	CS8130	No se puede inferir el tipo de variable de desconstrucción con tipo implícito 'success'.	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	208		
Error (activo)	CS8130	No se puede inferir el tipo de variable de desconstrucción con tipo implícito 'success'.	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	235		
Error (activo)	CS8130	No se puede inferir el tipo de variable de desconstrucción con tipo implícito 'success'.	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	267		
Error (activo)	CS8130	No se puede inferir el tipo de variable de desconstrucción con tipo implícito 'success'.	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	299		
Error (activo)	CS8130	No se puede inferir el tipo de variable de desconstrucción con tipo implícito 'success'.	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	326		
Error (activo)	CS8130	No se puede inferir el tipo de variable de desconstrucción con tipo implícito 'message'.	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	208		
Error (activo)	CS8130	No se puede inferir el tipo de variable de desconstrucción con tipo implícito 'message'.	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	235		
Error (activo)	CS8130	No se puede inferir el tipo de variable de desconstrucción con tipo implícito 'message'.	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	267		
Error (activo)	CS8130	No se puede inferir el tipo de variable de desconstrucción con tipo implícito 'message'.	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	299		
Error (activo)	CS8130	No se puede inferir el tipo de variable de desconstrucción con tipo implícito 'message'.	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	326		
Error (activo)	CS8130	No se puede inferir el tipo de variable de desconstrucción con tipo implícito 'anuncios'.	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	208		
Error (activo)	CS8130	No se puede inferir el tipo de variable de desconstrucción con tipo implícito 'anuncio'.	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	235		
Error (activo)	CS8130	No se puede inferir el tipo de variable de desconstrucción con tipo implícito 'anuncio'.	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	267		
Error (activo)	CS7036	No se ha dado ningún argumento que corresponda al parámetro requerido "jwtToken" de "IAnunciosService.ObtenerAnunciosAsync(string)"	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	208		
Error (activo)	CS7036	No se ha dado ningún argumento que corresponda al parámetro requerido "jwtToken" de "IAnunciosService.ObtenerAnuncioPorIdAsync(int, string)"	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	235		
Error (activo)	CS7036	No se ha dado ningún argumento que corresponda al parámetro requerido "jwtToken" de "IAnunciosService.EliminarAnuncioAsync(int, string)"	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	326		
Error (activo)	CS7036	No se ha dado ningún argumento que corresponda al parámetro requerido "jwtToken" de "IAnunciosService.CrearAnuncioAsync(object, string)"	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	267		
Error (activo)	CS7036	No se ha dado ningún argumento que corresponda al parámetro requerido "jwtToken" de "IAnunciosService.ActualizarAnuncioAsync(int, object, string)"	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	299		
