Gravedad	Código	Descripción	Proyecto	Archivo	Línea	Estado suprimido	Detalles
Error (activo)	CS0111	El tipo 'PermisosController' ya define un miembro denominado 'ObtenerMisPermisos' con los mismos tipos de parámetro	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\PermisosController.cs	515		
Error (activo)	CS0246	El nombre del tipo o del espacio de nombres 'AsignarPermisoRequest' no se encontró (¿falta una directiva using o una referencia de ensamblado?)	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\PermisosController.cs	440		
Error (activo)	CS0246	El nombre del tipo o del espacio de nombres 'AsignarPermisoRequest' no se encontró (¿falta una directiva using o una referencia de ensamblado?)	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\PermisosController.cs	486		
Error (activo)	CS0117	'UsuarioPermisoRE' no contiene una definición para 'UsuarioId'	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\PermisosController.cs	466		
Error (activo)	CS0117	'UsuarioPermisoRE' no contiene una definición para 'PermisoId'	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\PermisosController.cs	467		
Error (activo)	CS1061	"TucoContext" no contiene una definición para "UsuarioPermisoREs" ni un método de extensión accesible "UsuarioPermisoREs" que acepte un primer argumento del tipo "TucoContext" (¿falta alguna directiva using o una referencia de ensamblado?)	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\PermisosController.cs	456		
Error (activo)	CS1061	"TucoContext" no contiene una definición para "UsuarioPermisoREs" ni un método de extensión accesible "UsuarioPermisoREs" que acepte un primer argumento del tipo "TucoContext" (¿falta alguna directiva using o una referencia de ensamblado?)	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\PermisosController.cs	470		
Error (activo)	CS1061	"TucoContext" no contiene una definición para "UsuarioPermisoREs" ni un método de extensión accesible "UsuarioPermisoREs" que acepte un primer argumento del tipo "TucoContext" (¿falta alguna directiva using o una referencia de ensamblado?)	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\PermisosController.cs	490		
Error (activo)	CS1061	"TucoContext" no contiene una definición para "UsuarioPermisoREs" ni un método de extensión accesible "UsuarioPermisoREs" que acepte un primer argumento del tipo "TucoContext" (¿falta alguna directiva using o una referencia de ensamblado?)	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\PermisosController.cs	498		
