Gravedad	Código	Descripción	Proyecto	Archivo	Línea	Estado suprimido	Detalles
Error (activo)	CS0103	El nombre 'Json' no existe en el contexto actual	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\FacturacionController.cs	1065		
Error (activo)	CS0103	El nombre 'Json' no existe en el contexto actual	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\FacturacionController.cs	1072		
Error (activo)	CS0103	El nombre 'Json' no existe en el contexto actual	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\FacturacionController.cs	1082		
Error (activo)	CS0103	El nombre 'Json' no existe en el contexto actual	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\FacturacionController.cs	1093		
Error (activo)	CS0103	El nombre 'Json' no existe en el contexto actual	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\FacturacionController.cs	1116		
Error (activo)	CS0103	El nombre 'Json' no existe en el contexto actual	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\FacturacionController.cs	1123		
Error (activo)	CS0103	El nombre 'Json' no existe en el contexto actual	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\FacturacionController.cs	1133		
Error (activo)	CS0103	El nombre 'Json' no existe en el contexto actual	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\FacturacionController.cs	1144		
Error (activo)	CS0103	El nombre 'Json' no existe en el contexto actual	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\FacturacionController.cs	1163		
Error (activo)	CS0103	El nombre 'Json' no existe en el contexto actual	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\FacturacionController.cs	1170		
Error (activo)	CS0103	El nombre 'Json' no existe en el contexto actual	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\FacturacionController.cs	1180		
Error (activo)	CS0103	El nombre 'Json' no existe en el contexto actual	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\FacturacionController.cs	1191		
Error (activo)	CS0103	El nombre 'Json' no existe en el contexto actual	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\FacturacionController.cs	1210		
Error (activo)	CS0103	El nombre 'Json' no existe en el contexto actual	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\FacturacionController.cs	1217		
Error (activo)	CS0103	El nombre 'Json' no existe en el contexto actual	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\FacturacionController.cs	1227		
Error (activo)	CS0103	El nombre 'Json' no existe en el contexto actual	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\FacturacionController.cs	1238		
Error (activo)	CS0103	El nombre 'ObtenerTokenJwt' no existe en el contexto actual	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\FacturacionController.cs	1062		
Error (activo)	CS0103	El nombre 'ObtenerTokenJwt' no existe en el contexto actual	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\FacturacionController.cs	1113		
Error (activo)	CS0103	El nombre 'ObtenerTokenJwt' no existe en el contexto actual	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\FacturacionController.cs	1160		
Error (activo)	CS0103	El nombre 'ObtenerTokenJwt' no existe en el contexto actual	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\FacturacionController.cs	1207		
Error (activo)	CS0103	El nombre '_facturacionService' no existe en el contexto actual	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\FacturacionController.cs	1068		
Error (activo)	CS0103	El nombre '_facturacionService' no existe en el contexto actual	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\FacturacionController.cs	1119		
Error (activo)	CS0103	El nombre '_facturacionService' no existe en el contexto actual	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\FacturacionController.cs	1166		
Error (activo)	CS0103	El nombre '_facturacionService' no existe en el contexto actual	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\FacturacionController.cs	1213		
Error (activo)	CS0103	El nombre '_logger' no existe en el contexto actual	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\FacturacionController.cs	1060		
Error (activo)	CS0103	El nombre '_logger' no existe en el contexto actual	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\FacturacionController.cs	1081		
Error (activo)	CS0103	El nombre '_logger' no existe en el contexto actual	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\FacturacionController.cs	1092		
