Gravedad	Código	Descripción	Proyecto	Archivo	Línea	Estado suprimido	Detalles
Error (activo)	CS1061	"ICollection<Llanta>" no contiene una definición para "Ancho" ni un método de extensión accesible "Ancho" que acepte un primer argumento del tipo "ICollection<Llanta>" (¿falta alguna directiva using o una referencia de ensamblado?)	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\TomaInventarioController.cs	807		
Error (activo)	CS1061	"ICollection<Llanta>" no contiene una definición para "Diametro" ni un método de extensión accesible "Diametro" que acepte un primer argumento del tipo "ICollection<Llanta>" (¿falta alguna directiva using o una referencia de ensamblado?)	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\TomaInventarioController.cs	807		
Error (activo)	CS1061	"ICollection<Llanta>" no contiene una definición para "Marca" ni un método de extensión accesible "Marca" que acepte un primer argumento del tipo "ICollection<Llanta>" (¿falta alguna directiva using o una referencia de ensamblado?)	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\TomaInventarioController.cs	809		
Error (activo)	CS1061	"ICollection<Llanta>" no contiene una definición para "Modelo" ni un método de extensión accesible "Modelo" que acepte un primer argumento del tipo "ICollection<Llanta>" (¿falta alguna directiva using o una referencia de ensamblado?)	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\TomaInventarioController.cs	810		
Error (activo)	CS1061	"ICollection<Llanta>" no contiene una definición para "Perfil" ni un método de extensión accesible "Perfil" que acepte un primer argumento del tipo "ICollection<Llanta>" (¿falta alguna directiva using o una referencia de ensamblado?)	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\TomaInventarioController.cs	807		
Error (activo)	CS1061	"Producto" no contiene una definición para "EsLlanta" ni un método de extensión accesible "EsLlanta" que acepte un primer argumento del tipo "Producto" (¿falta alguna directiva using o una referencia de ensamblado?)	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\TomaInventarioController.cs	803		
Error (activo)	CS1061	"Producto" no contiene una definición para "EsLlanta" ni un método de extensión accesible "EsLlanta" que acepte un primer argumento del tipo "Producto" (¿falta alguna directiva using o una referencia de ensamblado?)	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\TomaInventarioController.cs	806		
Error (activo)	CS0104	'JsonSerializer' es una referencia ambigua entre 'Newtonsoft.Json.JsonSerializer' y 'System.Text.Json.JsonSerializer'	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Services\TomaInventarioService.cs	425		
Error (activo)	CS1056	Carácter '`' inesperado	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\TomaInventarioController.cs	1647		
Error (activo)	CS1056	Carácter '`' inesperado	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\TomaInventarioController.cs	1647		
Error (activo)	CS1056	Carácter '`' inesperado	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\TomaInventarioController.cs	1647		
Error (activo)	CS0103	El nombre 'python' no existe en el contexto actual	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\TomaInventarioController.cs	1647		
Error (activo)	CS0103	El nombre '_jsonOptions' no existe en el contexto actual	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Services\TomaInventarioService.cs	425		
Error (activo)	CS0111	El tipo 'TomaInventarioService' ya define un miembro denominado 'ObtenerDiscrepanciasAsync' con los mismos tipos de parámetro	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Services\TomaInventarioService.cs	406		
Error (activo)	CS1002	Se esperaba ;	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\TomaInventarioController.cs	1647		
