Gravedad	Código	Descripción	Proyecto	Archivo	Línea	Estado suprimido	Detalles
Error (activo)	CS1061	"IFacturacionService" no contiene una definición para "GenerarReciboAsync" ni un método de extensión accesible "GenerarReciboAsync" que acepte un primer argumento del tipo "IFacturacionService" (¿falta alguna directiva using o una referencia de ensamblado?)	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\FacturacionController.cs	358		
Error (activo)	CS1061	"IFacturacionService" no contiene una definición para "ProcesarVentaCompletaAsync" ni un método de extensión accesible "ProcesarVentaCompletaAsync" que acepte un primer argumento del tipo "IFacturacionService" (¿falta alguna directiva using o una referencia de ensamblado?)	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\FacturacionController.cs	329		
Error (activo)	CS0111	El tipo 'FacturacionController' ya define un miembro denominado 'Index' con los mismos tipos de parámetro	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\FacturacionController.cs	313		
Error (activo)	CS0200	No se puede asignar a la propiedad o el indizador 'DetalleFacturaDTO.DescuentoCalculado' porque es de solo lectura	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\FacturacionController.cs	539		
Error (activo)	CS0200	No se puede asignar a la propiedad o el indizador 'DetalleFacturaDTO.SubtotalConDescuento' porque es de solo lectura	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\FacturacionController.cs	540		
Error (activo)	CS0200	No se puede asignar a la propiedad o el indizador 'FacturaDTO.ImpuestoCalculado' porque es de solo lectura	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\FacturacionController.cs	524		
Error (activo)	CS0200	No se puede asignar a la propiedad o el indizador 'FacturaDTO.SubtotalConDescuento' porque es de solo lectura	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\FacturacionController.cs	521		
Error (activo)	CS0200	No se puede asignar a la propiedad o el indizador 'FacturaDTO.TotalCalculado' porque es de solo lectura	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\FacturacionController.cs	525		
Error (activo)	CS0029	No se puede convertir implícitamente el tipo 'string' en 'int'	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\FacturacionController.cs	530		
