Gravedad	Código	Descripción	Proyecto	Archivo	Línea	Estado suprimido	Detalles
Error (activo)	CS0501	'InventarioController.InventarioController(?, ?)' debe declarar un cuerpo porque no se marcó como abstracto, externo o parcial	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\InventarioController.cs	843		
Error (activo)	CS0106	El modificador 'private' no es válido para este elemento	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\InventarioController.cs	1047		
Error (activo)	CS0106	El modificador 'public' no es válido para este elemento	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\InventarioController.cs	848		
Error (activo)	CS0106	El modificador 'public' no es válido para este elemento	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\InventarioController.cs	903		
Error (activo)	CS0106	El modificador 'public' no es válido para este elemento	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\InventarioController.cs	959		
Error (activo)	CS0106	El modificador 'public' no es válido para este elemento	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\InventarioController.cs	1013		
Error (activo)	CS0106	El modificador 'public' no es válido para este elemento	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\InventarioController.cs	1063		
Error (activo)	CS0106	El modificador 'public' no es válido para este elemento	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\InventarioController.cs	1085		
Error (activo)	CS0106	El modificador 'public' no es válido para este elemento	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\InventarioController.cs	1107		
Error (activo)	CS0106	El modificador 'public' no es válido para este elemento	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\InventarioController.cs	1131		
Error (activo)	CS0106	El modificador 'public' no es válido para este elemento	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\InventarioController.cs	1163		
Error (activo)	CS0106	El modificador 'public' no es válido para este elemento	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\InventarioController.cs	1187		
Error (activo)	CS1520	El método debe tener un tipo de valor devuelto	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\InventarioController.cs	843		
Error (activo)	CS0103	El nombre 'BadRequest' no existe en el contexto actual	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\InventarioController.cs	971		
Error (activo)	CS0103	El nombre 'BadRequest' no existe en el contexto actual	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\InventarioController.cs	1029		
Error (activo)	IDE1007	El nombre 'ex' no existe en el contexto actual.	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\InventarioController.cs	842		
Error (activo)	CS0103	El nombre 'inventario' no existe en el contexto actual	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\InventarioController.cs	836		
Error (activo)	IDE1007	El nombre 'LogError' no existe en el contexto actual.	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\InventarioController.cs	842		
Error (activo)	IDE1007	El nombre 'message' no existe en el contexto actual.	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\InventarioController.cs	843		
Error (activo)	CS0103	El nombre 'NotFound' no existe en el contexto actual	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\InventarioController.cs	947		
Error (activo)	CS0103	El nombre 'NotFound' no existe en el contexto actual	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\InventarioController.cs	968		
Error (activo)	CS0103	El nombre 'NotFound' no existe en el contexto actual	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\InventarioController.cs	1026		
Error (activo)	CS0103	El nombre 'Ok' no existe en el contexto actual	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\InventarioController.cs	893		
Error (activo)	CS0103	El nombre 'Ok' no existe en el contexto actual	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\InventarioController.cs	949		
Error (activo)	CS0103	El nombre 'Ok' no existe en el contexto actual	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\InventarioController.cs	1003		
Error (activo)	CS0103	El nombre 'Ok' no existe en el contexto actual	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\InventarioController.cs	1034		
Error (activo)	CS0103	El nombre 'Ok' no existe en el contexto actual	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\InventarioController.cs	1074		
Error (activo)	CS0103	El nombre 'Ok' no existe en el contexto actual	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\InventarioController.cs	1096		
Error (activo)	CS0103	El nombre 'Ok' no existe en el contexto actual	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\InventarioController.cs	1120		
Error (activo)	CS0103	El nombre 'Ok' no existe en el contexto actual	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\InventarioController.cs	1152		
Error (activo)	CS0103	El nombre 'Ok' no existe en el contexto actual	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\InventarioController.cs	1176		
Error (activo)	CS0103	El nombre 'Ok' no existe en el contexto actual	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\InventarioController.cs	1200		
Error (activo)	CS0103	El nombre 'StatusCode' no existe en el contexto actual	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\InventarioController.cs	898		
Error (activo)	CS0103	El nombre 'StatusCode' no existe en el contexto actual	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\InventarioController.cs	954		
Error (activo)	CS0103	El nombre 'StatusCode' no existe en el contexto actual	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\InventarioController.cs	1008		
Error (activo)	CS0103	El nombre 'StatusCode' no existe en el contexto actual	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\InventarioController.cs	1039		
Error (activo)	CS0103	El nombre 'StatusCode' no existe en el contexto actual	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\InventarioController.cs	1079		
Error (activo)	CS0103	El nombre 'StatusCode' no existe en el contexto actual	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\InventarioController.cs	1101		
Error (activo)	CS0103	El nombre 'StatusCode' no existe en el contexto actual	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\InventarioController.cs	1125		
Error (activo)	CS0103	El nombre 'StatusCode' no existe en el contexto actual	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\InventarioController.cs	1157		
Error (activo)	CS0103	El nombre 'StatusCode' no existe en el contexto actual	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\InventarioController.cs	1181		
Error (activo)	CS0103	El nombre 'StatusCode' no existe en el contexto actual	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\InventarioController.cs	1205		
Error (activo)	CS0103	El nombre '_context' no existe en el contexto actual	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\InventarioController.cs	852		
Error (activo)	CS0103	El nombre '_context' no existe en el contexto actual	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\InventarioController.cs	866		
