Gravedad	Código	Descripción	Proyecto	Archivo	Línea	Estado suprimido	Detalles
Error (activo)	CS8130	No se puede inferir el tipo de variable de desconstrucción con tipo implícito 'success'.	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	208		
Error (activo)	CS8130	No se puede inferir el tipo de variable de desconstrucción con tipo implícito 'success'.	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	235		
Error (activo)	CS8130	No se puede inferir el tipo de variable de desconstrucción con tipo implícito 'success'.	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	289		
Error (activo)	CS8130	No se puede inferir el tipo de variable de desconstrucción con tipo implícito 'success'.	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	321		
Error (activo)	CS8130	No se puede inferir el tipo de variable de desconstrucción con tipo implícito 'success'.	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	348		
Error (activo)	CS8130	No se puede inferir el tipo de variable de desconstrucción con tipo implícito 'message'.	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	208		
Error (activo)	CS8130	No se puede inferir el tipo de variable de desconstrucción con tipo implícito 'message'.	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	235		
Error (activo)	CS8130	No se puede inferir el tipo de variable de desconstrucción con tipo implícito 'message'.	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	289		
Error (activo)	CS8130	No se puede inferir el tipo de variable de desconstrucción con tipo implícito 'message'.	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	321		
Error (activo)	CS8130	No se puede inferir el tipo de variable de desconstrucción con tipo implícito 'message'.	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	348		
Error (activo)	CS8130	No se puede inferir el tipo de variable de desconstrucción con tipo implícito 'anuncios'.	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	208		
Error (activo)	CS8130	No se puede inferir el tipo de variable de desconstrucción con tipo implícito 'anuncio'.	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	235		
Error (activo)	CS8130	No se puede inferir el tipo de variable de desconstrucción con tipo implícito 'anuncio'.	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	289		
Error (activo)	CS7036	No se ha dado ningún argumento que corresponda al parámetro requerido "usuarioId" de "IAnunciosService.EliminarAnuncioAsync(int, int, string)"	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	348		
Error (activo)	CS7036	No se ha dado ningún argumento que corresponda al parámetro requerido "jwtToken" de "IAnunciosService.ObtenerAnunciosAsync(string)"	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	208		
Error (activo)	CS0246	El nombre del tipo o del espacio de nombres 'CrearAnuncioDTO' no se encontró (¿falta una directiva using o una referencia de ensamblado?)	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	256		
Error (activo)	CS0246	El nombre del tipo o del espacio de nombres 'ActualizarAnuncioDTO' no se encontró (¿falta una directiva using o una referencia de ensamblado?)	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	310		
Error (activo)	CS1061	"IAnunciosService" no contiene una definición para "ObtenerAnuncioPorIdAsync" ni un método de extensión accesible "ObtenerAnuncioPorIdAsync" que acepte un primer argumento del tipo "IAnunciosService" (¿falta alguna directiva using o una referencia de ensamblado?)	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	235		
Error (activo)	CS1061	"Anuncio" no contiene una definición para "UsuarioCreadorId" ni un método de extensión accesible "UsuarioCreadorId" que acepte un primer argumento del tipo "Anuncio" (¿falta alguna directiva using o una referencia de ensamblado?)	API	C:\Users\UMA08\source\repos\Tuco\API\Data\TucoContext.cs	992		
Error (activo)	CS1061	"Anuncio" no contiene una definición para "UsuarioCreador" ni un método de extensión accesible "UsuarioCreador" que acepte un primer argumento del tipo "Anuncio" (¿falta alguna directiva using o una referencia de ensamblado?)	API	C:\Users\UMA08\source\repos\Tuco\API\Data\TucoContext.cs	985		
Error (activo)	CS1061	"Anuncio" no contiene una definición para "Activo" ni un método de extensión accesible "Activo" que acepte un primer argumento del tipo "Anuncio" (¿falta alguna directiva using o una referencia de ensamblado?)	API	C:\Users\UMA08\source\repos\Tuco\API\Data\TucoContext.cs	973		
Error (activo)	CS1061	"Anuncio" no contiene una definición para "Activo" ni un método de extensión accesible "Activo" que acepte un primer argumento del tipo "Anuncio" (¿falta alguna directiva using o una referencia de ensamblado?)	API	C:\Users\UMA08\source\repos\Tuco\API\Data\TucoContext.cs	995		
