Gravedad	Código	Descripción	Proyecto	Archivo	Línea	Estado suprimido	Detalles
Error (activo)	CS0117	'ImagenesProducto' no contiene una definición para 'NombreArchivo'	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\InventarioController.cs	525		
Error (activo)	CS0266	No se puede convertir implícitamente el tipo 'int?' en 'int'. Ya existe una conversión explícita (compruebe si le falta una conversión)	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\InventarioController.cs	1380		
Error (activo)	CS1061	"ICollection<Llanta>" no contiene una definición para "LlantaId" ni un método de extensión accesible "LlantaId" que acepte un primer argumento del tipo "ICollection<Llanta>" (¿falta alguna directiva using o una referencia de ensamblado?)	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\InventarioController.cs	1383		
Error (activo)	CS1061	"ICollection<Llanta>" no contiene una definición para "Marca" ni un método de extensión accesible "Marca" que acepte un primer argumento del tipo "ICollection<Llanta>" (¿falta alguna directiva using o una referencia de ensamblado?)	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\InventarioController.cs	1384		
Error (activo)	CS1061	"ICollection<Llanta>" no contiene una definición para "Modelo" ni un método de extensión accesible "Modelo" que acepte un primer argumento del tipo "ICollection<Llanta>" (¿falta alguna directiva using o una referencia de ensamblado?)	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\InventarioController.cs	1385		
Error (activo)	CS1061	"ICollection<Llanta>" no contiene una definición para "Ancho" ni un método de extensión accesible "Ancho" que acepte un primer argumento del tipo "ICollection<Llanta>" (¿falta alguna directiva using o una referencia de ensamblado?)	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\InventarioController.cs	1386		
Error (activo)	CS1061	"ICollection<Llanta>" no contiene una definición para "Perfil" ni un método de extensión accesible "Perfil" que acepte un primer argumento del tipo "ICollection<Llanta>" (¿falta alguna directiva using o una referencia de ensamblado?)	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\InventarioController.cs	1387		
Error (activo)	CS1061	"ICollection<Llanta>" no contiene una definición para "Diametro" ni un método de extensión accesible "Diametro" que acepte un primer argumento del tipo "ICollection<Llanta>" (¿falta alguna directiva using o una referencia de ensamblado?)	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\InventarioController.cs	1388		
Error (activo)	CS1061	"ICollection<Llanta>" no contiene una definición para "IndiceVelocidad" ni un método de extensión accesible "IndiceVelocidad" que acepte un primer argumento del tipo "ICollection<Llanta>" (¿falta alguna directiva using o una referencia de ensamblado?)	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\InventarioController.cs	1389		
Error (activo)	CS0117	'LlantaDTO' no contiene una definición para 'IndiceCarga'	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\InventarioController.cs	1390		
Error (activo)	CS1061	"ICollection<Llanta>" no contiene una definición para "IndiceCarga" ni un método de extensión accesible "IndiceCarga" que acepte un primer argumento del tipo "ICollection<Llanta>" (¿falta alguna directiva using o una referencia de ensamblado?)	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\InventarioController.cs	1390		
Error (activo)	CS1061	"ICollection<Llanta>" no contiene una definición para "TipoTerreno" ni un método de extensión accesible "TipoTerreno" que acepte un primer argumento del tipo "ICollection<Llanta>" (¿falta alguna directiva using o una referencia de ensamblado?)	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\InventarioController.cs	1391		
Error (activo)	CS0117	'LlantaDTO' no contiene una definición para 'TipoLlanta'	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\InventarioController.cs	1392		
Error (activo)	CS1061	"ICollection<Llanta>" no contiene una definición para "TipoLlanta" ni un método de extensión accesible "TipoLlanta" que acepte un primer argumento del tipo "ICollection<Llanta>" (¿falta alguna directiva using o una referencia de ensamblado?)	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\InventarioController.cs	1392		
Error (activo)	CS1061	"ImagenesProducto" no contiene una definición para "NombreArchivo" ni un método de extensión accesible "NombreArchivo" que acepte un primer argumento del tipo "ImagenesProducto" (¿falta alguna directiva using o una referencia de ensamblado?)	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\InventarioController.cs	1397		
Error (activo)	CS0117	'ImagenProductoDTO' no contiene una definición para 'EsPrincipal'	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\InventarioController.cs	1398		
Error (activo)	CS1061	"ImagenesProducto" no contiene una definición para "EsPrincipal" ni un método de extensión accesible "EsPrincipal" que acepte un primer argumento del tipo "ImagenesProducto" (¿falta alguna directiva using o una referencia de ensamblado?)	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\InventarioController.cs	1398		
Error (activo)	CS1061	"ImagenProductoDTO" no contiene una definición para "EsPrincipal" ni un método de extensión accesible "EsPrincipal" que acepte un primer argumento del tipo "ImagenProductoDTO" (¿falta alguna directiva using o una referencia de ensamblado?)	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Views\Public\Productos.cshtml	51		
