Gravedad	Código	Descripción	Proyecto	Archivo	Línea	Estado suprimido	Detalles
Error (activo)	CS8124	Una tupla debe contener al menos dos elementos.	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	197		
Error (activo)	CS8124	Una tupla debe contener al menos dos elementos.	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	199		
Error (activo)	CS0236	Un inicializador de campo no puede hacer referencia al campo, método o propiedad no estáticos 'DashboardController.ObtenerTokenJWT()'	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	196		
Error (activo)	CS8802	Solo una unidad de compilación puede tener instrucciones de nivel superior.	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	203		
Error (activo)	CS1022	Se esperaba una definición de tipo o espacio de nombres, o el fin del archivo	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	200		
Error (activo)	CS1022	Se esperaba una definición de tipo o espacio de nombres, o el fin del archivo	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	213		
Error (activo)	CS1022	Se esperaba una definición de tipo o espacio de nombres, o el fin del archivo	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	214		
Error (activo)	CS1022	Se esperaba una definición de tipo o espacio de nombres, o el fin del archivo	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	218		
Error (activo)	CS1022	Se esperaba una definición de tipo o espacio de nombres, o el fin del archivo	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	219		
Error (activo)	CS1022	Se esperaba una definición de tipo o espacio de nombres, o el fin del archivo	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	220		
Error (activo)	CS1022	Se esperaba una definición de tipo o espacio de nombres, o el fin del archivo	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	221		
Error (activo)	CS1031	Se esperaba un tipo	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	199		
Error (activo)	CS1001	Se esperaba un identificador	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	193		
Error (activo)	CS1001	Se esperaba un identificador	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	197		
Error (activo)	CS1001	Se esperaba un identificador	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	214		
Error (activo)	CS1001	Se esperaba un identificador	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	216		
Error (activo)	CS1002	Se esperaba ;	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	197		
Error (activo)	CS1002	Se esperaba ;	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	200		
Error (activo)	CS1002	Se esperaba ;	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	214		
Error (activo)	CS1026	Se esperaba )	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	197		
Error (activo)	CS1026	Se esperaba )	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	199		
Error (activo)	CS1026	Se esperaba )	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	200		
Error (activo)	CS1026	Se esperaba )	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	214		
Error (activo)	CS8803	Las instrucciones de nivel superior deben preceder a las declaraciones de espacio de nombres y de tipos.	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	203		
Error (activo)	CS0825	La palabra clave contextual 'var' solo puede aparecer dentro de una declaración de variable local o en código de script	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	196		
Error (activo)	CS1519	Invalid token '{' in a member declaration	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	200		
Error (activo)	CS1519	Invalid token 'if' in a member declaration	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	197		
Error (activo)	CS1519	Invalid token '=' in a member declaration	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	200		
Error (activo)	CS1519	Invalid token '=' in a member declaration	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	200		
Error (activo)	CS1519	Invalid token '.' in a member declaration	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	197		
Error (activo)	CS1519	Invalid token ')' in a member declaration	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	197		
Error (activo)	CS1519	Invalid token '(' in a member declaration	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	199		
Error (activo)	CS1519	Invalid token '"❌ Token JWT no encontrado para Dashboard"' in a member declaration	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	199		
Error (activo)	CS1003	Error de sintaxis, se esperaba ','	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	214		
Error (activo)	CS1003	Error de sintaxis, se esperaba ','	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	216		
Error (activo)	CS0246	El nombre del tipo o del espacio de nombres 'token' no se encontró (¿falta una directiva using o una referencia de ensamblado?)	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	197		
Error (activo)	CS0246	El nombre del tipo o del espacio de nombres 'ex' no se encontró (¿falta una directiva using o una referencia de ensamblado?)	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	214		
Error (activo)	IDE1007	El nombre '_logger.LogError' no existe en el contexto actual.	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	199		
Error (activo)	IDE1007	El nombre '_logger' no existe en el contexto actual.	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	199		
Error (activo)	CS0103	El nombre '_logger' no existe en el contexto actual	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	207		
Error (activo)	CS0103	El nombre '_logger' no existe en el contexto actual	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	211		
Error (activo)	CS0103	El nombre '_dashboardService' no existe en el contexto actual	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	203		
Error (activo)	CS0103	El nombre 'token' no existe en el contexto actual	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	203		
Error (activo)	IDE1007	El nombre 'success' no existe en el contexto actual.	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	200		
Error (activo)	IDE1007	El nombre 'message' no existe en el contexto actual.	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	200		
Error (activo)	IDE1007	El nombre 'LogError' no existe en el contexto actual.	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	199		
Error (activo)	CS0103	El nombre 'Json' no existe en el contexto actual	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	208		
Error (activo)	CS0103	El nombre 'Json' no existe en el contexto actual	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	212		
Error (activo)	CS0103	El nombre 'Json' no existe en el contexto actual	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	217		
Error (activo)	CS1520	El método debe tener un tipo de valor devuelto	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	193		
Error (activo)	CS1520	El método debe tener un tipo de valor devuelto	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	197		
Error (activo)	CS1520	El método debe tener un tipo de valor devuelto	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	200		
Error (activo)	CS0119	'Exception' es tipo, que no es válida en el contexto indicado	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	214		
