Gravedad	Código	Descripción	Proyecto	Archivo	Línea	Estado suprimido	Detalles
Error (activo)	CS1529	Una cláusula using debe preceder al resto de elementos definidos en el espacio de nombres, excepto las declaraciones de alias externos	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Services\Interfaces\IAnunciosService.cs	16		
Error (activo)	CS0246	El nombre del tipo o del espacio de nombres 'CrearAnuncioDTO' no se encontró (¿falta una directiva using o una referencia de ensamblado?)	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\AnunciosController.cs	66		
Error (activo)	CS0246	El nombre del tipo o del espacio de nombres 'CrearAnuncioDTO' no se encontró (¿falta una directiva using o una referencia de ensamblado?)	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Services\Interfaces\IAnunciosService.cs	10		
Error (activo)	CS0246	El nombre del tipo o del espacio de nombres 'CrearAnuncioDTO' no se encontró (¿falta una directiva using o una referencia de ensamblado?)	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Services\Interfaces\IAnunciosService.cs	33		
Error (activo)	CS0246	El nombre del tipo o del espacio de nombres 'AnuncioDTO' no se encontró (¿falta una directiva using o una referencia de ensamblado?)	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Services\Interfaces\IAnunciosService.cs	8		
Error (activo)	CS0246	El nombre del tipo o del espacio de nombres 'AnuncioDTO' no se encontró (¿falta una directiva using o una referencia de ensamblado?)	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Services\Interfaces\IAnunciosService.cs	9		
Error (activo)	CS0246	El nombre del tipo o del espacio de nombres 'AnuncioDTO' no se encontró (¿falta una directiva using o una referencia de ensamblado?)	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Services\Interfaces\IAnunciosService.cs	10		
Error (activo)	CS0246	El nombre del tipo o del espacio de nombres 'AnuncioDTO' no se encontró (¿falta una directiva using o una referencia de ensamblado?)	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Services\Interfaces\IAnunciosService.cs	28		
Error (activo)	CS0246	El nombre del tipo o del espacio de nombres 'AnuncioDTO' no se encontró (¿falta una directiva using o una referencia de ensamblado?)	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Services\Interfaces\IAnunciosService.cs	33		
Error (activo)	CS0246	El nombre del tipo o del espacio de nombres 'AnuncioDTO' no se encontró (¿falta una directiva using o una referencia de ensamblado?)	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Services\Interfaces\IAnunciosService.cs	38		
Error (activo)	CS0246	El nombre del tipo o del espacio de nombres 'AnuncioDTO' no se encontró (¿falta una directiva using o una referencia de ensamblado?)	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Services\Interfaces\IAnunciosService.cs	48		
Error (activo)	CS0246	El nombre del tipo o del espacio de nombres 'ActualizarAnuncioDTO' no se encontró (¿falta una directiva using o una referencia de ensamblado?)	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\AnunciosController.cs	122		
Error (activo)	CS0246	El nombre del tipo o del espacio de nombres 'ActualizarAnuncioDTO' no se encontró (¿falta una directiva using o una referencia de ensamblado?)	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Services\Interfaces\IAnunciosService.cs	11		
Error (activo)	CS0246	El nombre del tipo o del espacio de nombres 'ActualizarAnuncioDTO' no se encontró (¿falta una directiva using o una referencia de ensamblado?)	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Services\Interfaces\IAnunciosService.cs	38		
Error (activo)	CS0101	El espacio de nombres 'GestionLlantera.Web.Services.Interfaces' ya contiene una definición para 'IAnunciosService'	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Services\Interfaces\IAnunciosService.cs	23		
