Gravedad	Código	Descripción	Proyecto	Archivo	Línea	Estado suprimido	Detalles
Error (activo)	CS1525	El término de expresión '/' no es válido	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\obj\Release\net7.0\Microsoft.CodeAnalysis.Razor.Compiler\Microsoft.NET.Sdk.Razor.SourceGenerators.RazorSourceGenerator\Views_Public_DetalleProducto_cshtml.g.cs	413		
Error (activo)	CS0841	No se puede usar la variable local 'llanta' antes de declararla	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Views\Public\DetalleProducto.cshtml	104		
Error (activo)	CS0841	No se puede usar la variable local '@llanta' antes de declararla	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Views\Public\DetalleProducto.cshtml	104		
Error (activo)	CS1002	Se esperaba ;	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Views\Public\DetalleProducto.cshtml	104		
Error (activo)	CS0246	El nombre del tipo o del espacio de nombres 'R' no se encontró (¿falta una directiva using o una referencia de ensamblado?)	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Views\Public\DetalleProducto.cshtml	104		
Error (activo)	CS0136	Una variable local o un parámetro denominados 'llanta' no se pueden declarar en este ámbito porque ese nombre se está usando en un ámbito local envolvente para definir una variable local o un parámetro	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Views\Public\DetalleProducto.cshtml	104		
Error (activo)	CS1003	Error de sintaxis, se esperaba ','	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Views\Public\DetalleProducto.cshtml	104		
Error (activo)	CS1002	Se esperaba ;	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Views\Public\DetalleProducto.cshtml	104		
Error (activo)	CS0103	El nombre 'Diametro' no existe en el contexto actual	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Views\Public\DetalleProducto.cshtml	104		
Error (activo)	CS1002	Se esperaba ;	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Views\Public\DetalleProducto.cshtml	104		
Error (activo)	CS0841	No se puede usar la variable local 'llanta' antes de declararla	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Views\Public\DetalleProducto.cshtml	108		
Error (activo)	CS0246	El nombre del tipo o del espacio de nombres 'R' no se encontró (¿falta una directiva using o una referencia de ensamblado?)	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Views\Public\DetalleProducto.cshtml	108		
Error (activo)	CS0136	Una variable local o un parámetro denominados 'llanta' no se pueden declarar en este ámbito porque ese nombre se está usando en un ámbito local envolvente para definir una variable local o un parámetro	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Views\Public\DetalleProducto.cshtml	108		
Error (activo)	CS1003	Error de sintaxis, se esperaba ','	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Views\Public\DetalleProducto.cshtml	108		
Error (activo)	CS1002	Se esperaba ;	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Views\Public\DetalleProducto.cshtml	108		
Error (activo)	CS0103	El nombre 'Diametro' no existe en el contexto actual	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Views\Public\DetalleProducto.cshtml	108		
Error (activo)	CS1002	Se esperaba ;	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Views\Public\DetalleProducto.cshtml	108		
Error (activo)	CS1061	"LlantaDTO" no contiene una definición para "TipoLlanta" ni un método de extensión accesible "TipoLlanta" que acepte un primer argumento del tipo "LlantaDTO" (¿falta alguna directiva using o una referencia de ensamblado?)	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Views\Public\DetalleProducto.cshtml	132		
Error (activo)	CS1061	"LlantaDTO" no contiene una definición para "TipoLlanta" ni un método de extensión accesible "TipoLlanta" que acepte un primer argumento del tipo "LlantaDTO" (¿falta alguna directiva using o una referencia de ensamblado?)	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Views\Public\DetalleProducto.cshtml	137		
