Gravedad	Código	Descripción	Proyecto	Archivo	Línea	Estado suprimido	Detalles
Error (activo)	CS0738	'FacturacionService' no implementa el miembro de interfaz 'IFacturacionService.MarcarComoEntregadoPorCodigoAsync(object, string)'. 'FacturacionService.MarcarComoEntregadoPorCodigoAsync(object, string)' no puede implementar 'IFacturacionService.MarcarComoEntregadoPorCodigoAsync(object, string)' porque no tiene el tipo de valor devuelto coincidente de 'Task<(bool success, object? data, string? message, string? details)>'.	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Services\FacturacionService.cs	9		
Error (activo)	CS1973	'ILogger<FacturacionService>' no tiene ningún método aplicable denominado 'LogInformation', pero tiene un método de extensión con ese nombre. Los métodos de extensión no se pueden enviar de forma dinámica. Puede convertir los argumentos dinámicos o llamar al método de extensión sin la sintaxis de método de extensión.	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Services\FacturacionService.cs	571		
Error (activo)	CS0104	'JsonSerializer' es una referencia ambigua entre 'Newtonsoft.Json.JsonSerializer' y 'System.Text.Json.JsonSerializer'	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Services\FacturacionService.cs	1412		
Error (activo)	CS0104	'JsonSerializer' es una referencia ambigua entre 'Newtonsoft.Json.JsonSerializer' y 'System.Text.Json.JsonSerializer'	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Services\FacturacionService.cs	1415		
Error (activo)	CS1503	Argumento 3: no se puede convertir de 'string' a 'System.Net.Http.Headers.MediaTypeHeaderValue'	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Services\FacturacionService.cs	1415		
Error (activo)	CS0104	'JsonSerializer' es una referencia ambigua entre 'Newtonsoft.Json.JsonSerializer' y 'System.Text.Json.JsonSerializer'	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Services\FacturacionService.cs	1423		
Error (activo)	CS0104	'JsonSerializer' es una referencia ambigua entre 'Newtonsoft.Json.JsonSerializer' y 'System.Text.Json.JsonSerializer'	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Services\FacturacionService.cs	1469		
Error (activo)	CS0104	'JsonSerializer' es una referencia ambigua entre 'Newtonsoft.Json.JsonSerializer' y 'System.Text.Json.JsonSerializer'	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Services\FacturacionService.cs	1504		
Error (activo)	CS0104	'JsonSerializer' es una referencia ambigua entre 'Newtonsoft.Json.JsonSerializer' y 'System.Text.Json.JsonSerializer'	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Services\FacturacionService.cs	1533		
Error (activo)	CS1503	Argumento 3: no se puede convertir de 'string' a 'System.Net.Http.Headers.MediaTypeHeaderValue'	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Services\FacturacionService.cs	1533		
Error (activo)	CS0104	'JsonSerializer' es una referencia ambigua entre 'Newtonsoft.Json.JsonSerializer' y 'System.Text.Json.JsonSerializer'	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Services\FacturacionService.cs	1541		
Error (activo)	CS0104	'JsonSerializer' es una referencia ambigua entre 'Newtonsoft.Json.JsonSerializer' y 'System.Text.Json.JsonSerializer'	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Services\FacturacionService.cs	1570		
Error (activo)	CS8652	La característica "palabra clave field" se encuentra actualmente en vista previa y *no se admite*. Para usar características en vista previa, utilice la versión de idioma "vista previa".	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Services\FacturacionService.cs	1707		
Error (activo)	CS8180	Se esperaba { o ; o =>.	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Services\FacturacionService.cs	1707		
Error (activo)	CS1513	Se esperaba }	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Services\FacturacionService.cs	1707		
Error (activo)	CS0103	El nombre 'set' no existe en el contexto actual	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Services\FacturacionService.cs	1707		
Error (activo)	CS0201	Solo las expresiones de asignación, llamada, incremento, decremento, espera y objeto nuevo se pueden usar como instrucción	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Services\FacturacionService.cs	1707		
Error (activo)	CS1513	Se esperaba }	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Services\FacturacionService.cs	1707		
