Gravedad	Código	Descripción	Proyecto	Archivo	Línea	Estado suprimido	Detalles
Error (activo)	CS1061	"TucoContext" no contiene una definición para "Anuncios" ni un método de extensión accesible "Anuncios" que acepte un primer argumento del tipo "TucoContext" (¿falta alguna directiva using o una referencia de ensamblado?)	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\AnunciosController.cs	36		
Error (activo)	CS1061	"TucoContext" no contiene una definición para "Anuncios" ni un método de extensión accesible "Anuncios" que acepte un primer argumento del tipo "TucoContext" (¿falta alguna directiva using o una referencia de ensamblado?)	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\AnunciosController.cs	79		
Error (activo)	CS1061	"TucoContext" no contiene una definición para "Anuncios" ni un método de extensión accesible "Anuncios" que acepte un primer argumento del tipo "TucoContext" (¿falta alguna directiva using o una referencia de ensamblado?)	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\AnunciosController.cs	149		
Error (activo)	CS1061	"TucoContext" no contiene una definición para "Anuncios" ni un método de extensión accesible "Anuncios" que acepte un primer argumento del tipo "TucoContext" (¿falta alguna directiva using o una referencia de ensamblado?)	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\AnunciosController.cs	156		
Error (activo)	CS1061	"TucoContext" no contiene una definición para "Anuncios" ni un método de extensión accesible "Anuncios" que acepte un primer argumento del tipo "TucoContext" (¿falta alguna directiva using o una referencia de ensamblado?)	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\AnunciosController.cs	207		
Error (activo)	CS1061	"TucoContext" no contiene una definición para "Anuncios" ni un método de extensión accesible "Anuncios" que acepte un primer argumento del tipo "TucoContext" (¿falta alguna directiva using o una referencia de ensamblado?)	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\AnunciosController.cs	263		
Error (activo)	CS1061	"TucoContext" no contiene una definición para "Anuncios" ni un método de extensión accesible "Anuncios" que acepte un primer argumento del tipo "TucoContext" (¿falta alguna directiva using o una referencia de ensamblado?)	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\AnunciosController.cs	309		
Error (activo)	CS1061	"TucoContext" no contiene una definición para "NotasRapidas" ni un método de extensión accesible "NotasRapidas" que acepte un primer argumento del tipo "TucoContext" (¿falta alguna directiva using o una referencia de ensamblado?)	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\NotasRapidasController.cs	42		
Error (activo)	CS1061	"TucoContext" no contiene una definición para "NotasRapidas" ni un método de extensión accesible "NotasRapidas" que acepte un primer argumento del tipo "TucoContext" (¿falta alguna directiva using o una referencia de ensamblado?)	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\NotasRapidasController.cs	97		
Error (activo)	CS1061	"TucoContext" no contiene una definición para "NotasRapidas" ni un método de extensión accesible "NotasRapidas" que acepte un primer argumento del tipo "TucoContext" (¿falta alguna directiva using o una referencia de ensamblado?)	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\NotasRapidasController.cs	138		
Error (activo)	CS1061	"TucoContext" no contiene una definición para "NotasRapidas" ni un método de extensión accesible "NotasRapidas" que acepte un primer argumento del tipo "TucoContext" (¿falta alguna directiva using o una referencia de ensamblado?)	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\NotasRapidasController.cs	192		
Error (activo)	CS1061	"TucoContext" no contiene una definición para "NotasRapidas" ni un método de extensión accesible "NotasRapidas" que acepte un primer argumento del tipo "TucoContext" (¿falta alguna directiva using o una referencia de ensamblado?)	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\NotasRapidasController.cs	234		
Error (activo)	CS1061	"TucoContext" no contiene una definición para "RolPermisos" ni un método de extensión accesible "RolPermisos" que acepte un primer argumento del tipo "TucoContext" (¿falta alguna directiva using o una referencia de ensamblado?)	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\AuthController.cs	253		
Error (activo)	CS1061	"TucoContext" no contiene una definición para "RolPermisos" ni un método de extensión accesible "RolPermisos" que acepte un primer argumento del tipo "TucoContext" (¿falta alguna directiva using o una referencia de ensamblado?)	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\RolesController.cs	105		
Error (activo)	CS1061	"TucoContext" no contiene una definición para "RolPermisos" ni un método de extensión accesible "RolPermisos" que acepte un primer argumento del tipo "TucoContext" (¿falta alguna directiva using o una referencia de ensamblado?)	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\RolesController.cs	247		
Error (activo)	CS1061	"TucoContext" no contiene una definición para "RolPermisos" ni un método de extensión accesible "RolPermisos" que acepte un primer argumento del tipo "TucoContext" (¿falta alguna directiva using o una referencia de ensamblado?)	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\RolesController.cs	340		
Error (activo)	CS1061	"TucoContext" no contiene una definición para "UsuarioPermiso" ni un método de extensión accesible "UsuarioPermiso" que acepte un primer argumento del tipo "TucoContext" (¿falta alguna directiva using o una referencia de ensamblado?)	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\AuthController.cs	259		
Error (activo)	CS1061	"TucoContext" no contiene una definición para "UsuarioPermiso" ni un método de extensión accesible "UsuarioPermiso" que acepte un primer argumento del tipo "TucoContext" (¿falta alguna directiva using o una referencia de ensamblado?)	API	C:\Users\UMA08\source\repos\Tuco\API\ServicesAPI\PermisosService.cs	140		
Error (activo)	CS1503	Argumento 1: no se puede convertir de 'int?' a 'int'	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\FacturacionController.cs	1257		
Error (activo)	CS1503	Argumento 1: no se puede convertir de 'string' a 'System.IO.BinaryReader'	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\AuthController.cs	279		
