Gravedad	Código	Descripción	Proyecto	Archivo	Línea	Estado suprimido	Detalles
Error (activo)	CS0266	No se puede convertir implícitamente el tipo 'int?' en 'int'. Ya existe una conversión explícita (compruebe si le falta una conversión)	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\FacturacionController.cs	342		
Error (activo)	CS0266	No se puede convertir implícitamente el tipo 'int?' en 'int'. Ya existe una conversión explícita (compruebe si le falta una conversión)	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\FacturacionController.cs	410		
Error (activo)	CS0117	'ProductoVentaDTO' no contiene una definición para 'Precio'	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\FacturacionController.cs	90		
Error (activo)	CS0117	'ProductoVentaDTO' no contiene una definición para 'Precio'	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\FacturacionController.cs	140		
Error (activo)	CS1973	'ILogger<FacturacionService>' no tiene ningún método aplicable denominado 'LogInformation', pero tiene un método de extensión con ese nombre. Los métodos de extensión no se pueden enviar de forma dinámica. Puede convertir los argumentos dinámicos o llamar al método de extensión sin la sintaxis de método de extensión.	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Services\FacturacionService.cs	83		
Error (activo)	CS0117	'FacturaDTO' no contiene una definición para 'Total'	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\FacturacionController.cs	354		
Error (activo)	CS0117	'FacturaDTO' no contiene una definición para 'Total'	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\FacturacionController.cs	422		
Error (activo)	CS0117	'FacturaDTO' no contiene una definición para 'Subtotal'	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\FacturacionController.cs	350		
Error (activo)	CS0117	'FacturaDTO' no contiene una definición para 'Subtotal'	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\FacturacionController.cs	418		
Error (activo)	CS0117	'FacturaDTO' no contiene una definición para 'PorcentajeImpuesto'	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\FacturacionController.cs	352		
