Gravedad	Código	Descripción	Proyecto	Archivo	Línea	Estado suprimido	Detalles
Error (activo)	CS8130	No se puede inferir el tipo de variable de desconstrucción con tipo implícito 'success'.	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	267		
Error (activo)	CS8130	No se puede inferir el tipo de variable de desconstrucción con tipo implícito 'success'.	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	299		
Error (activo)	CS8130	No se puede inferir el tipo de variable de desconstrucción con tipo implícito 'message'.	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	267		
Error (activo)	CS8130	No se puede inferir el tipo de variable de desconstrucción con tipo implícito 'message'.	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	299		
Error (activo)	CS8130	No se puede inferir el tipo de variable de desconstrucción con tipo implícito 'anuncio'.	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	267		
Error (activo)	CS0234	El tipo o el nombre del espacio de nombres 'Application' no existe en el espacio de nombres 'GestionLlantera' (¿falta alguna referencia de ensamblado?)	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	4		
Error (activo)	CS0246	El nombre del tipo o del espacio de nombres 'CrearAnuncioDTO' no se encontró (¿falta una directiva using o una referencia de ensamblado?)	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	256		
Error (activo)	CS0246	El nombre del tipo o del espacio de nombres 'ActualizarAnuncioDTO' no se encontró (¿falta una directiva using o una referencia de ensamblado?)	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\DashboardController.cs	288		
