Gravedad	Código	Descripción	Proyecto	Archivo	Línea	Estado suprimido	Detalles
Error (activo)	CS1061	"Cliente" no contiene una definición para "Nombre" ni un método de extensión accesible "Nombre" que acepte un primer argumento del tipo "Cliente" (¿falta alguna directiva using o una referencia de ensamblado?)	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\FacturacionController.cs	529		
Error (activo)	CS1061	"Cliente" no contiene una definición para "Identificacion" ni un método de extensión accesible "Identificacion" que acepte un primer argumento del tipo "Cliente" (¿falta alguna directiva using o una referencia de ensamblado?)	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\FacturacionController.cs	531		
Error (activo)	CS0117	'FacturaDTO' no contiene una definición para 'UsuarioCreador'	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\FacturacionController.cs	534		
Error (activo)	CS1061	"Usuario" no contiene una definición para "NombreCompleto" ni un método de extensión accesible "NombreCompleto" que acepte un primer argumento del tipo "Usuario" (¿falta alguna directiva using o una referencia de ensamblado?)	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\FacturacionController.cs	534		
Error (activo)	CS1061	"Usuario" no contiene una definición para "NombreCompleto" ni un método de extensión accesible "NombreCompleto" que acepte un primer argumento del tipo "Usuario" (¿falta alguna directiva using o una referencia de ensamblado?)	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\FacturacionController.cs	535		
Error (activo)	CS1061	"Producto" no contiene una definición para "Nombre" ni un método de extensión accesible "Nombre" que acepte un primer argumento del tipo "Producto" (¿falta alguna directiva using o una referencia de ensamblado?)	API	C:\Users\UMA08\source\repos\Tuco\API\Controllers\FacturacionController.cs	547		
Error (activo)	CS1501	Ninguna sobrecarga para el método 'ObtenerFacturasAsync' toma 3 argumentos	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\FacturacionController.cs	702		
Error (activo)	CS1061	"IFacturacionService" no contiene una definición para "ObtenerDetalleFacturaAsync" ni un método de extensión accesible "ObtenerDetalleFacturaAsync" que acepte un primer argumento del tipo "IFacturacionService" (¿falta alguna directiva using o una referencia de ensamblado?)	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\FacturacionController.cs	748		
Error (activo)	CS0111	El tipo 'FacturacionController' ya define un miembro denominado 'ObtenerDetalleFactura' con los mismos tipos de parámetro	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Controllers\FacturacionController.cs	1591		
Error (activo)	CS0535	'FacturacionService' no implementa el miembro de interfaz 'IFacturacionService.ObtenerFacturasAsync(string, int)'	GestionLlantera.Web	C:\Users\UMA08\source\repos\Tuco\GestionLlantera.Web\Services\FacturacionService.cs	11		
